[ff, f0, e2, 1]
[ff, ee, e0, 1]
[fe, ee, e4, 1]
[fe, ec, e5, 1]
[fe, e9, de, 1]
[f9, e5, d5, 1]
[f6, e0, d3, 1]
[f6, df, cf, 1]
[f6, dc, cb, 1]
[f5, da, c5, 1]
[f1, d8, c3, 1]
[f2, da, c1, 1]
[f2, d6, be, 1]
[f0, d5, bb, 1]
[ec, d2, b4, 1]
[e6, ce, a6, 1]
[d2, bc, 85, 1]
[a8, 8f, 4a, 1]
[75, 60, 19, 1]
[4b, 40, e, 1]
[2e, 27, 7, 1]
[1a, 16, 4, 1]
[c, a, 1, 1]
[5, 4, 0, 1]
[1, 1, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[3, 2, 0, 1]
[d, b, 2, 1]
[23, 1d, 7, 1]
[45, 3a, 13, 1]
[7f, 6c, 38, 1]
[b7, 9c, 72, 1]
[d3, b2, 94, 1]
[dd, bd, 9d, 1]
[dd, be, 99, 1]
[e0, bf, 91, 1]
[e2, ba, 8f, 1]
[df, ba, 90, 1]
[dd, b7, 85, 1]
[df, b5, 82, 1]
[df, b7, 82, 1]
[dd, b6, 89, 1]
[de, ba, 8a, 1]
[e1, bd, 89, 1]
[e0, ba, 8d, 1]
[df, b8, 8a, 1]
[dd, b9, 89, 1]
[dc, b9, 8b, 1]
[dc, b7, 84, 1]
[db, b7, 88, 1]
[db, b9, 87, 1]
[de, ba, 84, 1]
[de, b8, 87, 1]
[dc, b7, 88, 1]
[dd, ba, 8d, 1]
[dc, b8, 83, 1]
[dc, b6, 84, 1]
[dc, b5, 87, 1]
[dc, b5, 83, 1]
[dc, b3, 7d, 1]
[dd, b4, 7c, 1]
[da, b3, 81, 1]
[dc, b5, 80, 1]
[d9, b2, 7b, 1]
[d9, b6, 7d, 1]
[d8, b3, 7c, 1]
[d9, ae, 78, 1]
[d8, ae, 7a, 1]
[da, b5, 7f, 1]
[d8, b6, 85, 1]
[d9, b4, 81, 1]
[dc, b3, 7d, 1]
[db, b3, 7f, 1]
[d9, b2, 7e, 1]
[d7, b4, 82, 1]
[d5, b7, 89, 1]
[cf, b4, 81, 1]
[bd, a0, 67, 1]
[9b, 80, 2c, 1]
[71, 5e, 12, 1]
